Brand,Model,Year,EngineSize,Mileage,Transmission,FuelType,Price
Vauxhall, Mokka X,2017.0,1.4,22832,Manual,Petrol,11498
BMW,X5,2014.0,3.0,97000,Automatic,Diesel,18990
Vauxhall, Mokka X,2018.0,1.4,11457,Manual,Petrol,10954
Mercedes, C Class,2013.0,2.1,57801,Automatic,Diesel,9700
Volkswagen, Golf,2015.0,1.4,28379,Manual,Petrol,10898
BMW,2 Series,2019.0,2.0,5208,Semi-Auto,Petrol,24999
Audi,A3,2016.0,1.4,15011,Manual,Petrol,15300
Ford, Kuga,2017.0,1.5,33211,Automatic,Petrol,13700
Volkswagen, Amarok,2013.0,2.0,46725,Manual,Diesel,14888
Audi,Q2,2017.0,1.6,50841,Manual,Diesel,15529
Volkswagen, Up,2019.0,1.0,550,Manual,Petrol,9990
Volkswagen, Passat,2019.0,2.0,9959,Semi-Auto,Diesel,29980
BMW,3 Series,2019.0,2.0,19494,Semi-Auto,Petrol,21220
Mercedes, C Class,2019.0,1.5,6783,Semi-Auto,Petrol,24699
Toyota, Aygo,2016.0,1.0,23225,Manual,Petrol,5889
Ford, Fiesta,2015.0,1.6,36003,Semi-Auto,Petrol,7895
BMW,1 Series,2017.0,0.0,16681,Manual,Diesel,13500
Audi,A1,2016.0,1.6,42011,Manual,Diesel,9995
Vauxhall, Mokka X,2017.0,1.4,36594,Manual,Petrol,9995
Hyundai,I10,2017.0,1.0,11090,Manual,Petrol,7260
Ford, Fiesta,2017.0,1.0,20926,Manual,Petrol,10260
Skoda, Kamiq,2019.0,1.0,1987,Manual,Petrol,18285
BMW,3 Series,2018.0,2.0,26231,Semi-Auto,Diesel,18495
Ford, Kuga,2017.0,1.5,25799,Manual,Diesel,13500
BMW,3 Series,2012.0,2.0,70000,Automatic,Diesel,7475
Ford, Fiesta,2014.0,1.2,27015,Manual,Petrol,7060
Mercedes, C Class,2019.0,1.5,14627,Semi-Auto,Petrol,23000
Skoda, Superb,2017.0,2.0,22060,Automatic,Diesel,15950
Ford, Fiesta,2017.0,1.0,6159,Manual,Petrol,9495
Ford, Focus,2017.0,1.5,39900,Semi-Auto,Diesel,9890
Mercedes, A Class,2019.0,2.0,4897,Semi-Auto,Diesel,24519
